transaction_id,date,description,amount
LEDGER001,2024-01-02,Customer Payment - Invoice #1001,1500.00
LEDGER002,2024-01-03,Wire Transfer from Client A,5000.00
LEDGER003,2024-01-05,Direct Deposit - Payroll,12500.00
LEDGER004,2024-01-06,ACH Payment - Invoice #1002,3200.00
LEDGER005,2024-01-08,Credit Card Payment,875.50
LEDGER006,2024-01-10,Wire Transfer from Client B,7500.00
LEDGER007,2024-01-12,Check Deposit #4521,2100.00
LEDGER008,2024-01-15,ACH Payment - Invoice #1003,4500.00
LEDGER009,2024-01-16,Direct Deposit - Payroll,12500.00
LEDGER010,2024-01-18,Wire Transfer from Client C,12000.00
LEDGER011,2024-01-20,Customer Payment - Invoice #1004,2800.00
LEDGER012,2024-01-22,ACH Payment - Invoice #1005,5600.00
LEDGER013,2024-01-25,Check Deposit #4522,1800.00
LEDGER014,2024-01-26,Wire Transfer from Client D,9500.00
LEDGER015,2024-01-28,Credit Card Payment,1250.00
LEDGER016,2024-01-30,ACH Payment - Invoice #1006,3400.00
LEDGER017,2024-02-01,Direct Deposit - Payroll,12500.00
LEDGER018,2024-02-03,Wire Transfer from Client E,6800.00
LEDGER019,2024-02-05,Customer Payment - Invoice #1007,4200.00
LEDGER020,2024-02-08,ACH Payment - Invoice #1008,7100.00
LEDGER021,2024-02-10,Check Deposit #4523,2900.00
LEDGER022,2024-02-12,Wire Transfer from Client F,15000.00
LEDGER023,2024-02-15,Credit Card Payment,950.00
LEDGER024,2024-02-18,ACH Payment - Invoice #1009,3800.00
LEDGER025,2024-02-20,Direct Deposit - Payroll,12500.00
LEDGER026,2024-02-22,Customer Payment - Invoice #1010,5500.00
LEDGER027,2024-02-25,Wire Transfer from Client G,8200.00
